Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
CABE2,ABAB3,Carex bebbii Olney ex Fernald,Bebb's sedge,Cyperaceae
CABI22,ABAB3,Carex billingsii (O.W. Knight) Kirschb.,Billings' Sedge,Cyperaceae
CABI22,CATRB,Carex trisperma Dewey var. billingsii Knight,hybrid violet,Cyperaceae
CABI3,ABAB3,Carex bicknellii Britton,Bicknell's sedge,Cyperaceae
CABI3,CABIB,Carex bicknellii Britton var. bicknellii,hybrid violet,Cyperaceae
CABI3,CABRC2,Carex brevior (Dewey) Mack. var. crawei (W. Boott) B. Boivin,hybrid violet,Cyperaceae
CABL,ABAB3,Carex blanda Dewey,eastern woodland sedge,Cyperaceae
CABL,CALAB4,Carex laxiflora Lam. var. blanda (Dewey) Boott,hybrid violet,Cyperaceae
CABR10,ABAB3,Carex brevior (Dewey) Mack.,shortbeak sedge,Cyperaceae
CABR10,CAFEB,Carex festucacea Schkuhr ex Willd. var. brevior (Dewey) Fernald,hybrid violet,Cyperaceae
CABR14,ABAB3,Carex bromoides Schkuhr ex Willd.,brome-like sedge,Cyperaceae
CABR15,ABAB3,Carex brunnescens (Pers.) Poir.,brownish sedge,Cyperaceae
CABRB6,ABAB3,Carex bromoides Schkuhr ex Willd. ssp. bromoides,brome-like sedge,Cyperaceae
CABRB6,CABRB2,Carex bromoides Schkuhr ex Willd. var. bromoides,hybrid violet,Cyperaceae
CABRS,ABAB3,Carex brunnescens (Pers.) Poir. ssp. sphaerostachya (Tuck.) Kalela,brownish sedge,Cyperaceae
CABRS,CABRS2,Carex brunnescens (Pers.) Poir. var. sphaerostachya (Tuck.) Kük.,hybrid violet,Cyperaceae
CABU5,ABAB3,Carex bushii Mack.,Bush's sedge,Cyperaceae
CABU5,CACAC12,Carex caroliniana Schwein. var. cuspidata (Dewey) Shinners,hybrid violet,Cyperaceae
CABU6,ABAB3,Carex buxbaumii Wahlenb.,Buxbaum's sedge,Cyperaceae
CABU7,ABAB3,Carex bullata Schkuhr ex Willd.,button sedge,Cyperaceae
CACA11,ABAB3,Carex canescens L.,silvery sedge,Cyperaceae
CACA16,ABAB3,Carex castanea Wahlenb.,chestnut sedge,Cyperaceae
CACAC6,ABAB3,Carex canescens L. ssp. canescens,silvery sedge,Cyperaceae
CACAC6,CACAC5,Carex canescens L. var. canescens,hybrid violet,Cyperaceae
CACAC6,CACU9,Carex curta Goodenough,hybrid violet,Cyperaceae
CACAD2,ABAB3,Carex canescens L. ssp. disjuncta (Fernald) Toivonen,silvery sedge,Cyperaceae
CACAD2,CACAD,Carex canescens L. var. disjuncta Fernald,hybrid violet,Cyperaceae
CACE,ABAB3,Carex cephalophora Muhl. ex Willd.,oval-leaf sedge,Cyperaceae
CACE2,ABAB3,Carex cephaloidea (Dewey) Dewey,thinleaf sedge,Cyperaceae
CACE2,CASPC,Carex sparganioides Muhl. ex Willd. var. cephaloidea (Dewey) Carey,hybrid violet,Cyperaceae
CACO14,ABAB3,Carex conoidea Schkuhr ex Willd.,openfield sedge,Cyperaceae
CACO14,CAKA,Carex katahdinensis Fernald,hybrid violet,Cyperaceae
CACO21,ABAB3,Carex collinsii Nutt.,Collins' sedge,Cyperaceae
CACO7,ABAB3,Carex communis L.H. Bailey,fibrousroot sedge,Cyperaceae
CACO8,ABAB3,Carex comosa Boott,longhair sedge,Cyperaceae
CACOC4,ABAB3,Carex communis L.H. Bailey var. communis,fibrousroot sedge,Cyperaceae
CACR3,ABAB3,Carex crawei Dewey,Crawe's sedge,Cyperaceae
CACR4,ABAB3,Carex crawfordii Fernald,Crawford's sedge,Cyperaceae
CACR4,CACRV,Carex crawfordii Fernald var. vigens Fernald,hybrid violet,Cyperaceae
CACR6,ABAB3,Carex crinita Lam.,fringed sedge,Cyperaceae
CACR7,ABAB3,Carex cristatella Britton,crested sedge,Cyperaceae
CACR9,ABAB3,Carex cryptolepis Mack.,northeastern sedge,Cyperaceae
CACR9,CAFLF4,Carex flava L. var. fertilis auct. non Peck,hybrid violet,Cyperaceae
CACRB,ABAB3,Carex crinita Lam. var. brevicrinis Fernald,fringed sedge,Cyperaceae
CACRC2,ABAB3,Carex crinita Lam. var. crinita,fringed sedge,Cyperaceae
CACRC2,CACRM3,Carex crinita Lam. var. minor Boott,hybrid violet,Cyperaceae
CACRC2,CACRS,Carex crinita Lam. var. simulans Fernald,hybrid violet,Cyperaceae
CACU3,ABAB3,Carex cumulata (L.H. Bailey) Fernald,clustered sedge,Cyperaceae
CADA,ABAB3,Carex davisii Schwein. & Torr.,Davis' sedge,Cyperaceae
CADE5,ABAB3,Carex debilis Michx.,white edge sedge,Cyperaceae
CADE9,ABAB3,Carex deweyana Schwein.,Dewey sedge,Cyperaceae
CADED4,ABAB3,Carex deweyana Schwein. var. deweyana,Dewey sedge,Cyperaceae
CADEI2,ABAB3,Carex debilis Michx. var. interjecta L.H. Bailey,white edge sedge,Cyperaceae
CADER,ABAB3,Carex debilis Michx. var. rudgei L.H. Bailey,white edge sedge,Cyperaceae
CADER,CADER3,Carex debilis Michx. ssp. rudgei (L.H. Bailey) Á. Löve & D. Löve,hybrid violet,Cyperaceae
CADER,CAFL20,Carex flexuosa Muhl. ex Willd.,hybrid violet,Cyperaceae
CADES,ABAB3,Carex debilis Michx. var. strictior L.H. Bailey,white edge sedge,Cyperaceae
CADI4,ABAB3,Carex diandra Schrank,lesser panicled sedge,Cyperaceae
CADI5,ABAB3,Carex digitalis Willd.,slender woodland sedge,Cyperaceae
CADI6,ABAB3,Carex disperma Dewey,softleaf sedge,Cyperaceae
CADID2,ABAB3,Carex digitalis Willd. var. digitalis,slender woodland sedge,Cyperaceae
CAEB2,ABAB3,Carex eburnea Boott,bristleleaf sedge,Cyperaceae
CAEC,ABAB3,Carex echinata Murray,star sedge,Cyperaceae
CAECE,ABAB3,Carex echinata Murray ssp. echinata,star sedge,Cyperaceae
CAECE,CAAN23,Carex angustior Mack.,hybrid violet,Cyperaceae
CAECE,CAANG2,Carex angustior Mack. var. gracilenta R.T. Clausen & Wahl,hybrid violet,Cyperaceae
CAECE,CACE5,Carex cephalantha (L.H. Bailey) E.P. Bicknell,hybrid violet,Cyperaceae
CAECE,CAECA,Carex echinata Murray var. angustata (Carey) L.H. Bailey,hybrid violet,Cyperaceae
CAECE,CAHA30,Carex hawaiiensis H. St. John,hybrid violet,Cyperaceae
CAECE,CAJO4,Carex josselynii (Fernald) Mack. ex Pease,hybrid violet,Cyperaceae
CAECE,CALA54,Carex laricina Mack. ex Bright,hybrid violet,Cyperaceae
CAECE,CALE33,Carex leersii Willd.,hybrid violet,Cyperaceae
CAECE,CAMUA3,Carex muricata L. var. angustata (Carey) Carey ex Gleason,hybrid violet,Cyperaceae
CAECE,CAMUC2,Carex muricata L. var. cephalantha (L.H. Bailey) Wiegand & Eames,hybrid violet,Cyperaceae
CAECE,CAMUL,Carex muricata L. var. laricina (Mack. ex Bright) Gleason,hybrid violet,Cyperaceae
CAECE,CAOR2,Carex ormantha (Fernald) Mack.,hybrid violet,Cyperaceae
CAECE,CAPHA,Carex phyllomanica W. Boott var. angustata (Carey) B. Boivin,hybrid violet,Cyperaceae
CAECE,CAPHO,Carex phyllomanica W. Boott var. ormantha (Fernald) B. Boivin,hybrid violet,Cyperaceae
CAECE,CASV,Carex svensonis Skottsb.,hybrid violet,Cyperaceae
CAEM2,ABAB3,Carex emoryi Dewey,Emory's sedge,Cyperaceae
CAEM2,CASTE4,Carex stricta Lam. var. elongata (Boeckeler) Gleason,hybrid violet,Cyperaceae
CAEX7,ABAB3,Carex exilis Dewey,coastal sedge,Cyperaceae
CAFE3,ABAB3,Carex festucacea Schkuhr ex Willd.,fescue sedge,Cyperaceae
CAFL4,ABAB3,Carex flava L.,yellow sedge,Cyperaceae
CAFL4,CAFLF5,Carex flava L. var. fertilis Peck,hybrid violet,Cyperaceae
CAFL4,CAFLG3,Carex flava L. var. gaspensis Fernald,hybrid violet,Cyperaceae
CAFL4,CAFLG4,Carex flava L. var. graminis L.H. Bailey,hybrid violet,Cyperaceae
CAFL4,CAFLL2,Carex flava L. var. laxior (Kük.) Gleason,hybrid violet,Cyperaceae
CAFL4,CAFLR2,Carex flava L. var. rectirostra Gaudin,hybrid violet,Cyperaceae
CAFL4,CANEF,Carex nevadensis Boiss. & Reut. ssp. flavella (Krecz.) Janchen,hybrid violet,Cyperaceae
CAFO4,ABAB3,Carex formosa Dewey,handsome sedge,Cyperaceae
CAFO6,ABAB3,Carex folliculata L.,northern long sedge,Cyperaceae
CAGL6,ABAB3,Carex glaucodea Tuck. ex Olney,blue sedge,Cyperaceae
CAGL6,CAFLG5,Carex flaccosperma Dewey var. glaucodea (Tuck. ex Olney) Kük.,hybrid violet,Cyperaceae
CAGR2,ABAB3,Carex gracillima Schwein.,graceful sedge,Cyperaceae
CAGR2,CAGRM,Carex gracillima Schwein. var. macerrima Fernald & Wiegand,hybrid violet,Cyperaceae
CAGR24,ABAB3,Carex grisea Wahlenb.,inflated narrow-leaf sedge,Cyperaceae
CAGR24,CAAMT,Carex amphibola Steud. var. turgida Fernald,hybrid violet,Cyperaceae
CAGR3,ABAB3,Carex granularis Muhl. ex Willd.,limestone meadow sedge,Cyperaceae
CAGR3,CAGRG,Carex granularis Muhl. ex Willd. var. granularis,hybrid violet,Cyperaceae
CAGR3,CAGRH,Carex granularis Muhl. ex Willd. var. haleana (Olney) Porter,hybrid violet,Cyperaceae
CAGR3,CAGRR,Carex granularis Muhl. ex Willd. var. recta Dewey,hybrid violet,Cyperaceae
CAGR3,CAHA17,Carex haleana Olney,hybrid violet,Cyperaceae
CAGR3,CARE11,Carex rectior Mack.,hybrid violet,Cyperaceae
CAGR3,CASH6,Carex shriveri Britton,hybrid violet,Cyperaceae
CAGR5,ABAB3,Carex grayi Carey,Gray's sedge,Cyperaceae
CAGR5,CAAS8,Carex asa-grayi L.H. Bailey,hybrid violet,Cyperaceae
CAGR5,CAGRH2,Carex grayi Carey var. hispidula A. Gray,hybrid violet,Cyperaceae
CAGR8,ABAB3,Carex gracilescens Steud.,slender looseflower sedge,Cyperaceae
CAGR8,CALAG3,Carex laxiflora Lam. var. gracillima (Boott) Boott ex B.L. Rob. & Fernald,hybrid violet,Cyperaceae
CAGY4,ABAB3,Carex gynandra Schwein.,nodding sedge,Cyperaceae
CAGY4,CACRG2,Carex crinita Lam. var. gynandra (Schwein.) Schwein. & Torr.,hybrid violet,Cyperaceae
CAHA7,ABAB3,Carex haydenii Dewey,Hayden's sedge,Cyperaceae
CAHA7,CARO24,Carex rousseaui Raymond,hybrid violet,Cyperaceae
CAHA7,CASTD,Carex stricta Lam. var. decora L.H. Bailey,hybrid violet,Cyperaceae
CAHI10,ABAB3,Carex hirta L.,hammer sedge,Cyperaceae
CAHI5,ABAB3,Carex hirtifolia Mack.,pubescent sedge,Cyperaceae
CAHI6,ABAB3,Carex hirsutella Mack.,fuzzy wuzzy sedge,Cyperaceae
CAHI6,CACOH,Carex complanata Torr. & Hook. var. hirsuta (Willd.) Gleason,hybrid violet,Cyperaceae
CAHI6,CATR16,Carex triceps auct. non Michx.,hybrid violet,Cyperaceae
CAHI8,ABAB3,Carex hitchcockiana Dewey,Hitchcock's sedge,Cyperaceae
CAHO8,ABAB3,Carex hormathodes Fernald,marsh straw sedge,Cyperaceae
CAHO8,CASTI4,Carex straminea Willd. ex Schkuhr var. invisa W. Boott,hybrid violet,Cyperaceae
CAHY4,ABAB3,Carex hystericina Muhl. ex Willd.,bottlebrush sedge,Cyperaceae
CAIN11,ABAB3,Carex interior L.H. Bailey,inland sedge,Cyperaceae
CAIN11,CAINC3,Carex interior L.H. Bailey ssp. charlestonensis Clokey,hybrid violet,Cyperaceae
CAIN11,CAINK,Carex interior L.H. Bailey var. keweenawensis F.J. Herm.,hybrid violet,Cyperaceae
CAIN12,ABAB3,Carex intumescens Rudge,greater bladder sedge,Cyperaceae
CAIN12,CAINF,Carex intumescens Rudge var. fernaldii L.H. Bailey,hybrid violet,Cyperaceae
CALA11,ABAB3,Carex lasiocarpa Ehrh.,woollyfruit sedge,Cyperaceae
CALA14,ABAB3,Carex laevivaginata (Kük.) Mack.,smoothsheath sedge,Cyperaceae
CALA14,CASTL,Carex stipata Muhl. ex Willd. var. laevivaginata Kük.,hybrid violet,Cyperaceae
CALA15,ABAB3,Carex lapponica O.F. Lang,Lapland sedge,Cyperaceae
CALA15,CACAS2,Carex canescens L. var. subloliacea (Laest.) Hartm.,hybrid violet,Cyperaceae
CALA16,ABAB3,Carex lacustris Willd.,hairy sedge,Cyperaceae
CALA16,CARIL,Carex riparia M.A. Curtis var. lacustris (Willd.) Kük.,hybrid violet,Cyperaceae
CALA18,ABAB3,Carex laxiculmis Schwein.,spreading sedge,Cyperaceae
CALA19,ABAB3,Carex laxiflora Lam.,broad looseflower sedge,Cyperaceae
CALAA,ABAB3,Carex lasiocarpa Ehrh. var. americana Fernald,American woollyfruit sedge,Cyperaceae
CALAA,CALAA3,Carex lanuginosa Michx. var. americana (Fernald) B. Boivin,hybrid violet,Cyperaceae
CALAA,CALAA5,Carex lasiocarpa Ehrh. ssp. americana (Fernald) Love & Bernard,hybrid violet,Cyperaceae
CALAC,ABAB3,Carex laxiculmis Schwein. var. copulata (L.H. Bailey) Fernald,spreading sedge,Cyperaceae
CALAC,CACO53,Carex ×copulata (L.H. Bailey) Mack.,hybrid violet,Cyperaceae
CALAL4,ABAB3,Carex laxiculmis Schwein. var. laxiculmis,spreading sedge,Cyperaceae
CALAL4,CAAB15,Carex absconditiformis Fernald,hybrid violet,Cyperaceae
CALAL4,CAAB6,"Carex ×absconditiformis Fernald, database artifact",hybrid violet,Cyperaceae
CALAL5,ABAB3,Carex laxiflora Lam. var. laxiflora,broad looseflower sedge,Cyperaceae
CALAL5,CAAN17,Carex anceps Muhl.,hybrid violet,Cyperaceae
CALAL5,CALAP2,Carex laxiflora Lam. var. patulifolia (Dewey) Carey,hybrid violet,Cyperaceae
CALE10,ABAB3,Carex leptalea Wahlenb.,bristlystalked sedge,Cyperaceae
CALE11,ABAB3,Carex leptonervia (Fernald) Fernald,nerveless woodland sedge,Cyperaceae
CALE11,CALAV,Carex laxiflora Lam. var. varians L.H. Bailey,hybrid violet,Cyperaceae
CALEL4,ABAB3,Carex leptalea Wahlenb. ssp. leptalea,bristlystalked sedge,Cyperaceae
CALEL4,CALET,"Carex leptalea Wahlenb. var. tayloris B. Boivin, nom. inq.",hybrid violet,Cyperaceae
CALI,ABAB3,Carex livida (Wahlenb.) Willd.,livid sedge,Cyperaceae
CALI7,ABAB3,Carex limosa L.,mud sedge,Cyperaceae
CALIR,ABAB3,Carex livida (Wahlenb.) Willd. var. radicaulis Paine,livid sedge,Cyperaceae
CALIR,CALIG,Carex livida (Wahlenb.) Willd. var. grayana (Dewey) Fernald,hybrid violet,Cyperaceae
CALO5,ABAB3,Carex longii Mack.,Long's sedge,Cyperaceae
CALU17,ABAB3,Carex lucorum Willd. ex Link,Blue Ridge sedge,Cyperaceae
CALU3,ABAB3,Carex lupuliformis Sartwell ex Dewey,false hop sedge,Cyperaceae
CALU4,ABAB3,Carex lupulina Muhl. ex Willd.,hop sedge,Cyperaceae
CALU4,CALUP,Carex lupulina Muhl. ex Willd. var. pedunculata A. Gray,hybrid violet,Cyperaceae
CALU4,CAMA18,Carex ×macounii Dewey,hybrid violet,Cyperaceae
CALU5,ABAB3,Carex lurida Wahlenb.,shallow sedge,Cyperaceae
CALUL,ABAB3,Carex lucorum Willd. ex Link var. lucorum,Blue Ridge sedge,Cyperaceae
CALUL,CAMI35,Carex michiganensis Dewey,hybrid violet,Cyperaceae
CALUL,CAPED2,Carex pensylvanica Lam. var. distans Peck,hybrid violet,Cyperaceae
CALUL,CAPEL,Carex pensylvanica Lam. var. lucorum (Willd. ex Link) Fernald,hybrid violet,Cyperaceae
CALUL,CAPES2,Carex pensylvanica Lam. var. separans Peck,hybrid violet,Cyperaceae
CAMA12,ABAB3,Carex magellanica Lam.,boreal bog sedge,Cyperaceae
CAMAI2,ABAB3,Carex magellanica Lam. ssp. irrigua (Wahlenb.) Hultén,boreal bog sedge,Cyperaceae
CAMAI2,CAMAI4,"Carex magellanica Lam. var. irrigua (Wahlenb.) Britton, Sterns & Poggenb.",hybrid violet,Cyperaceae
CAMAI2,CAPA22,Carex paupercula Michx.,hybrid violet,Cyperaceae
CAMAI2,CAPAB3,Carex paupercula Michx. var. brevisquama Fernald,hybrid violet,Cyperaceae
CAMAI2,CAPAI4,Carex paupercula Michx. var. irrigua (Wahlenb.) Fernald,hybrid violet,Cyperaceae
CAMAI2,CAPAP9,Carex paupercula Michx. var. pallens Fernald,hybrid violet,Cyperaceae
CAME12,ABAB3,Carex merritt-fernaldii Mack.,Fernald's sedge,Cyperaceae
CAME13,ABAB3,Carex mesochorea Mack.,midland sedge,Cyperaceae
CAME13,CACEM,Carex cephalophora Muhl. ex Willd. var. mesochorea (Mack.) Gleason,hybrid violet,Cyperaceae
CAMO11,ABAB3,Carex molesta Mack. ex Bright,troublesome sedge,Cyperaceae
CAMU4,ABAB3,Carex muehlenbergii Schkuhr ex Willd.,Muhlenberg's sedge,Cyperaceae
CAMUE,ABAB3,Carex muehlenbergii Schkuhr ex Willd. var. enervis Boott,Muhlenberg's sedge,Cyperaceae
CAMUE,CAPL12,Carex plana Mack.,hybrid violet,Cyperaceae
CAMUM,ABAB3,Carex muehlenbergii Schkuhr ex Willd. var. muehlenbergii,Muhlenberg's sedge,Cyperaceae
CANI3,ABAB3,Carex nigromarginata Schwein.,black edge sedge,Cyperaceae
CANI5,ABAB3,Carex nigra (L.) Reichard,smooth black sedge,Cyperaceae
CANI5,CAAC5,Carex acuta auct. non L.,hybrid violet,Cyperaceae
CANI5,CAGO2,Carex goodenowii J. Gay,hybrid violet,Cyperaceae
CANI5,CANIS,Carex nigra (L.) Reichard var. strictiformis (L.H. Bailey) Fernald,hybrid violet,Cyperaceae
CANI5,CAVU6,Carex vulgaris Fr.,hybrid violet,Cyperaceae
CANO,ABAB3,Carex normalis Mack.,greater straw sedge,Cyperaceae
CANO4,ABAB3,Carex novae-angliae Schwein.,New England sedge,Cyperaceae
CAOL2,ABAB3,Carex oligocarpa Schkuhr ex Willd.,richwoods sedge,Cyperaceae
CAOL3,ABAB3,Carex oligosperma Michx.,fewseed sedge,Cyperaceae
CAOL4,ABAB3,Carex ×olneyi Boott [bullata × rostrata],sedge,Cyperaceae
CAOLO3,ABAB3,Carex oligosperma Michx. var. oligosperma,fewseed sedge,Cyperaceae
CAOR5,ABAB3,Carex ormostachya Wiegand,necklace spike sedge,Cyperaceae
CAOR5,CALAO,Carex laxiflora Lam. var. ormostachya (Wiegand) Gleason,hybrid violet,Cyperaceae
CAPA17,ABAB3,Carex pallescens L.,pale sedge,Cyperaceae
CAPA17,CAPAN2,Carex pallescens L. var. neogaea Fernald,hybrid violet,Cyperaceae
CAPA19,ABAB3,Carex pauciflora Lightf.,fewflower sedge,Cyperaceae
CAPA30,ABAB3,Carex panicea L.,grass-like sedge,Cyperaceae
CAPA30,CAPAM3,Carex panicea L. var. microcarpa Sonder,hybrid violet,Cyperaceae
CAPE4,ABAB3,Carex pedunculata Muhl. ex Willd.,longstalk sedge,Cyperaceae
CAPE42,ABAB3,Carex pellita Muhl. ex Willd.,woolly sedge,Cyperaceae
CAPE42,CALA30,Carex lanuginosa auct. non Michx.,hybrid violet,Cyperaceae
CAPE42,CALAL7,Carex lasiocarpa Ehrh. var. latifolia (Boeckeler) Gilly,hybrid violet,Cyperaceae
CAPE6,ABAB3,Carex pensylvanica Lam.,Pennsylvania sedge,Cyperaceae
CAPE6,CAMA47,Carex marginata Willd.,hybrid violet,Cyperaceae
CAPE6,CAPEG,Carex pensylvanica Lam. var. glumabunda Peck,hybrid violet,Cyperaceae
CAPE6,CAPEM2,Carex pensylvanica Lam. var. marginata (Willd.) Dewey,hybrid violet,Cyperaceae
CAPE6,CAPEV,Carex pensylvanica Lam. var. vespertina L.H. Bailey,hybrid violet,Cyperaceae
CAPE6,CAST24,Carex stolonifera Schwein.,hybrid violet,Cyperaceae
CAPL4,ABAB3,Carex plantaginea Lam.,plantainleaf sedge,Cyperaceae
CAPL5,ABAB3,Carex platyphylla Carey,broadleaf sedge,Cyperaceae
CAPO4,ABAB3,Carex polymorpha Muhl.,variable sedge,Cyperaceae
CAPR12,ABAB3,Carex prasina Wahlenb.,drooping sedge,Cyperaceae
CAPR6,ABAB3,Carex prairea Dewey ex Alph. Wood,prairie sedge,Cyperaceae
CAPR9,ABAB3,Carex projecta Mack.,necklace sedge,Cyperaceae
CAPS,ABAB3,Carex pseudocyperus L.,cypress-like sedge,Cyperaceae
CARA8,ABAB3,Carex radiata (Wahlenb.) Small,eastern star sedge,Cyperaceae
CARA8,CARAS,Carex radiata (Wahlenb.) Small var. staminata Peck ex Howe,hybrid violet,Cyperaceae
CARA8,CAROM,Carex rosea Schkuhr ex Willd. var. minor Boott,hybrid violet,Cyperaceae
CARA8,CAROR2,Carex rosea Schkuhr ex Willd. var. radiata (Wahlenb.) Dewey,hybrid violet,Cyperaceae
CARA8,CASY4,Carex sylvicola J. Webber & P.W. Ball,hybrid violet,Cyperaceae
CARE18,ABAB3,Carex reznicekii Werier,Reznicek's sedge,Cyperaceae
CARE4,ABAB3,Carex retrorsa Schwein.,knotsheath sedge,Cyperaceae
CARE9,ABAB3,Carex retroflexa Muhl. ex Willd.,reflexed sedge,Cyperaceae
CAREX,ABAB3,Carex L.,sedge,Cyperaceae
CARO22,ABAB3,Carex rosea Schkuhr ex Willd.,rosy sedge,Cyperaceae
CARO22,CACO58,Carex convoluta Mack.,hybrid violet,Cyperaceae
CARO22,CAFL9,Carex flaccidula Steud.,hybrid violet,Cyperaceae
CARO22,CAROP2,Carex rosea Schkuhr ex Willd. var. pusilla Peck & Howe,hybrid violet,Cyperaceae
CASC11,ABAB3,Carex scoparia Schkuhr ex Willd.,broom sedge,Cyperaceae
CASC13,ABAB3,Carex scabrata Schwein.,eastern rough sedge,Cyperaceae
CASC9,ABAB3,Carex schweinitzii Dewey ex Schwein.,Schweinitz's sedge,Cyperaceae
CASCS,ABAB3,Carex scoparia Schkuhr ex Willd. var. scoparia,broom sedge,Cyperaceae
CASCS,CASCC3,Carex scoparia Schkuhr ex Willd. var. condensa Fernald,hybrid violet,Cyperaceae
CASCS,CASCM2,Carex scoparia Schkuhr ex Willd. var. moniliformis Tuck.,hybrid violet,Cyperaceae
CASCS,CATRM2,Carex tribuloides Wahlenb. var. moniliformis (Tuck.) Britton,hybrid violet,Cyperaceae
CASE6,ABAB3,Carex seorsa Howe,weak stellate sedge,Cyperaceae
CASI12,ABAB3,Carex siccata Dewey,dryspike sedge,Cyperaceae
CASI12,CAAE,Carex aenea Fernald,hybrid violet,Cyperaceae
CASI12,CAFO3,Carex foenea Willd.,hybrid violet,Cyperaceae
CASI12,CAFOE,Carex foenea Willd. var. enervis Evans & Mohlenbr.,hybrid violet,Cyperaceae
CASI12,CAFOF,Carex foenea Willd. var. foenea,hybrid violet,Cyperaceae
CASI12,CAFOT,Carex foenea Willd. var. tuberculata F.J. Herm.,hybrid violet,Cyperaceae
CASI6,ABAB3,Carex silicea Olney,beach sedge,Cyperaceae
CASP10,ABAB3,Carex spicata Huds.,prickly sedge,Cyperaceae
CASP10,CACO40,Carex contigua Hoppe,hybrid violet,Cyperaceae
CASP3,ABAB3,Carex sparganioides Muhl. ex Willd.,bur-reed sedge,Cyperaceae
CASP7,ABAB3,Carex sprengelii Dewey ex Spreng.,Sprengel's sedge,Cyperaceae
CASQ2,ABAB3,Carex squarrosa L.,squarrose sedge,Cyperaceae
CAST16,ABAB3,Carex sterilis Willd.,dioecious sedge,Cyperaceae
CAST16,CAEL11,Carex elachycarpa Fernald,hybrid violet,Cyperaceae
CAST16,CAMI31,Carex ×minganinsularum Raymond,hybrid violet,Cyperaceae
CAST16,CAMUS,Carex muricata L. var. sterilis (Willd.) Gleason,hybrid violet,Cyperaceae
CAST16,KOEL2,Kobresia elachycarpa (Fernald) Fernald,hybrid violet,Cyperaceae
CAST17,ABAB3,Carex striatula Michx.,lined sedge,Cyperaceae
CAST17,CAIG,Carex ignota Dewey,hybrid violet,Cyperaceae
CAST17,CALAA4,Carex laxiflora Lam. var. angustifolia Dewey,hybrid violet,Cyperaceae
CAST5,ABAB3,Carex stipata Muhl. ex Willd.,awlfruit sedge,Cyperaceae
CAST6,ABAB3,Carex straminea Willd. ex Schkuhr,eastern straw sedge,Cyperaceae
CAST6,CARI6,Carex richii (Fernald) Mack.,hybrid violet,Cyperaceae
CAST8,ABAB3,Carex stricta Lam.,upright sedge,Cyperaceae
CAST8,CASTS,Carex stricta Lam. var. strictior (Dewey) Carey,hybrid violet,Cyperaceae
CAST8,CAST23,Carex strictior Dewey,hybrid violet,Cyperaceae
CAST9,ABAB3,Carex styloflexa Buckley,bent sedge,Cyperaceae
CASTS3,ABAB3,Carex stipata Muhl. ex Willd. var. stipata,owlfruit sedge,Cyperaceae
CASW,ABAB3,Carex swanii (Fernald) Mack.,Swan's sedge,Cyperaceae
CASW,CAVIS2,Carex virescens Muhl. ex Willd. var. swanii Fernald,hybrid violet,Cyperaceae
CATE3,ABAB3,Carex tenera Dewey,quill sedge,Cyperaceae
CATE3,CATEE,Carex tenera Dewey var. echinodes (Fernald) Wiegand,hybrid violet,Cyperaceae
CATE6,ABAB3,Carex tetanica Schkuhr,rigid sedge,Cyperaceae
CATI2,ABAB3,Carex tincta (Fernald) Fernald,tinged sedge,Cyperaceae
CATO10,ABAB3,Carex tonsa (Fernald) E.P. Bicknell,shaved sedge,Cyperaceae
CATO4,ABAB3,Carex torta Boott ex Tuck.,twisted sedge,Cyperaceae
CATOR,ABAB3,Carex tonsa (Fernald) E.P. Bicknell var. rugosperma (Mack.) Crins,parachute sedge,Cyperaceae
CATOR,CARU5,Carex rugosperma Mack.,hybrid violet,Cyperaceae
CATOT,ABAB3,Carex tonsa (Fernald) E.P. Bicknell var. tonsa,shaved sedge,Cyperaceae
CATOT,CARUT,Carex rugosperma Mack. var. tonsa (Fernald) E.G. Voss,hybrid violet,Cyperaceae
CATOT,CAUMT,Carex umbellata Schkuhr ex Willd. var. tonsa Fernald,hybrid violet,Cyperaceae
CATR10,ABAB3,Carex trisperma Dewey,threeseeded sedge,Cyperaceae
CATR7,ABAB3,Carex tribuloides Wahlenb.,blunt broom sedge,Cyperaceae
CATR8,ABAB3,Carex trichocarpa Muhl. ex Willd.,hairyfruit sedge,Cyperaceae
CATRT2,ABAB3,Carex tribuloides Wahlenb. var. tribuloides,blunt broom sedge,Cyperaceae
CATRT3,ABAB3,Carex trisperma Dewey var. trisperma,threeseeded sedge,Cyperaceae
CATU2,ABAB3,Carex tuckermanii Dewey,Tuckerman's sedge,Cyperaceae
CATY,ABAB3,Carex typhina Michx.,cattail sedge,Cyperaceae
CATY,CASQT,Carex squarrosa L. var. typhina (Michx.) Nutt.,hybrid violet,Cyperaceae
CAUM4,ABAB3,Carex umbellata Schkuhr ex Willd.,parasol sedge,Cyperaceae
CAUM4,CAAB11,Carex abdita E.P. Bicknell,hybrid violet,Cyperaceae
CAUT,ABAB3,Carex utriculata Boott,Northwest Territory sedge,Cyperaceae
CAUT,CAINU,Carex inflata Huds. var. utriculata (Boott) Druce,hybrid violet,Cyperaceae
CAUT,CARH9,"Carex rhynchophysa Fisch., C.A. Mey. & Avé-Lall.",hybrid violet,Cyperaceae
CAUT,CAROU,Carex rostrata Stokes var. utriculata (Boott) L.H. Bailey,hybrid violet,Cyperaceae
CAVE6,ABAB3,Carex vesicaria L.,blister sedge,Cyperaceae
