Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ECTE2,ECTEP,Echinodorus tenellus (Mart. ex Schult. f.) Buchenau var. parvulus (Engelm.) Fassett,hybrid violet,Alismataceae
ECTE2,HETE,Helanthium tenellum (Mart. ex Roem. & Schult.) Britton,hybrid violet,Alismataceae
ECTE2,HEPA21,Helianthium parvulum (Engelm.) Britton,hybrid violet,Alismataceae
ECTE2,HETE13,Helianthium tenellum (Mart. ex Schult. f.) Britton,hybrid violet,Alismataceae
SACA21,ABAB3,Sagittaria calycina Engelm.,hooded arrowhead,Alismataceae
SACAC,ABAB3,Sagittaria calycina Engelm. var. calycina,hooded arrowhead,Alismataceae
SACAC,LOCA11,Lophotocarpus californicus J.G. Sm.,hybrid violet,Alismataceae
SACAC,LOCA12,Lophotocarpus calycinus (Engelm.) J.G. Sm.,hybrid violet,Alismataceae
SACAC,LODE3,Lophotocarpus depauperatus J.G. Sm.,hybrid violet,Alismataceae
SACAC,SAMOC2,Sagittaria montevidensis Cham. & Schltdl. ssp. calycina (Engelm.) Bogin,hybrid violet,Alismataceae
SACAS,ABAB3,Sagittaria calycina Engelm. var. spongiosa Engelm.,hooded arrowhead,Alismataceae
SACAS,LOSP6,Lophotocarpus spathulatus J.G. Sm.,hybrid violet,Alismataceae
SACAS,LOSP5,Lophotocarpus spongiosus (Engelm.) J.G. Sm.,hybrid violet,Alismataceae
SACAS,SAMOS2,Sagittaria montevidensis Cham. & Schltdl. ssp. spongiosa (Engelm.) Bogin,hybrid violet,Alismataceae
SACAS,SAMOS3,Sagittaria montevidensis Cham. & Schltdl. var. spongiosa (Engelm.) B. Boivin,hybrid violet,Alismataceae
SACAS,SASP10,Sagittaria spathulata (J.G. Sm.) Buchenau,hybrid violet,Alismataceae
SACU,ABAB3,Sagittaria cuneata Sheldon,arumleaf arrowhead,Alismataceae
SACU,SAAR26,Sagittaria arifolia Nutt. ex J.G. Sm.,hybrid violet,Alismataceae
SAEN,ABAB3,Sagittaria engelmanniana J.G. Sm.,Engelmann's arrowhead,Alismataceae
SAFI2,ABAB3,Sagittaria filiformis J.G. Sm.,threadleaf arrowhead,Alismataceae
SAFI2,SAST4,Sagittaria stagnorum Small,hybrid violet,Alismataceae
SAFI2,SASUG2,Sagittaria subulata (L.) Buchenau var. gracillima (S. Watson) J.G. Sm.,hybrid violet,Alismataceae
SAGIT,ABAB3,Sagittaria L.,arrowhead,Alismataceae
SAGR,ABAB3,Sagittaria graminea Michx.,grassy arrowhead,Alismataceae
SAGRG,ABAB3,Sagittaria graminea Michx. var. graminea,grassy arrowhead,Alismataceae
SAGRG,SACY5,Sagittaria cycloptera (J.G. Sm.) C. Mohr,hybrid violet,Alismataceae
SAGRG,SAEA3,Sagittaria eatonii J.G. Sm.,hybrid violet,Alismataceae
SALA2,ABAB3,Sagittaria latifolia Willd.,broadleaf arrowhead,Alismataceae
SALA2,SACH15,Sagittaria chinensis Pursh,hybrid violet,Alismataceae
SALA2,SAENL3,Sagittaria engelmanniana J.G. Sm. ssp. longirostra (Micheli) Bogin,hybrid violet,Alismataceae
SALA2,SAES2,Sagittaria esculenta Howell,hybrid violet,Alismataceae
SALA2,SALAO,Sagittaria latifolia Willd. var. obtusa (Muhl. ex Willd.) Wiegand,hybrid violet,Alismataceae
SALA2,SALAP,Sagittaria latifolia Willd. var. pubescens (Muhl. ex Nutt.) J.G. Sm.,hybrid violet,Alismataceae
SALA2,SALO11,Sagittaria longirostra (Micheli) J.G. Sm.,hybrid violet,Alismataceae
SALA2,SAOB4,"Sagittaria obtusa Muhl. ex Willd., non Thunb.",hybrid violet,Alismataceae
SALA2,SAOR8,Sagittaria ornithorhyncha Small,hybrid violet,Alismataceae
SALA2,SAPL5,Sagittaria planipes Fernald,hybrid violet,Alismataceae
SALA2,SAPU10,Sagittaria pubescens Muhl. ex Nutt.,hybrid violet,Alismataceae
SALA2,SAVAO2,Sagittaria variabilis Engelm. var. obtusa (Muhl. ex Willd.) Engelm.,hybrid violet,Alismataceae
SALA2,SAVI12,Sagittaria viscosa C. Mohr,hybrid violet,Alismataceae
SAMO,ABAB3,Sagittaria montevidensis Cham. & Schltdl.,giant arrowhead,Alismataceae
SARI,ABAB3,Sagittaria rigida Pursh,sessilefruit arrowhead,Alismataceae
SASU,ABAB3,Sagittaria subulata (L.) Buchenau,awl-leaf arrowhead,Alismataceae
SASU,SALO12,Sagittaria lorata (Chapm.) Small,hybrid violet,Alismataceae
SASU,SASUN,Sagittaria subulata (L.) Buchenau var. natans (Michx.) J.G. Sm.,hybrid violet,Alismataceae
SASU,SASUS,Sagittaria subulata (L.) Buchenau var. subulata,hybrid violet,Alismataceae
AMAL,ABAB3,Amaranthus albus L.,prostrate pigweed,Amaranthaceae
AMAL,AMALP3,Amaranthus albus L. var. pubescens (Uline & Bray) Fernald,hybrid violet,Amaranthaceae
AMAL,AMGRP,Amaranthus graecizans L. var. pubescens Uline & Bray,hybrid violet,Amaranthaceae
AMAL,AMPU,Amaranthus pubescens (Uline & Bray) Rydb.,hybrid violet,Amaranthaceae
AMARA,ABAB3,Amaranthus L.,pigweed,Amaranthaceae
AMBL,ABAB3,Amaranthus blitoides S. Watson,mat amaranth,Amaranthaceae
AMBL,AMGR,Amaranthus graecizans auct. non L.,hybrid violet,Amaranthaceae
AMBL2,ABAB3,Amaranthus blitum L.,purple amaranth,Amaranthaceae
AMBLE2,ABAB3,Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon,purple amaranth,Amaranthaceae
AMBLE2,AMBLE,"Amaranthus blitum L. ssp. emarginatus (Moq. ex Uline & Bray) Carretero, Garmendia & Pedrol",hybrid violet,Amaranthaceae
AMBLE2,AMLI,Amaranthus lividus auct. non L.,hybrid violet,Amaranthaceae
AMCA2,ABAB3,Amaranthus cannabinus (L.) Sauer,tidalmarsh amaranth,Amaranthaceae
AMCA2,ACCA11,Acnida cannabina L.,hybrid violet,Amaranthaceae
AMCA3,ABAB3,Amaranthus caudatus L.,foxtail amaranth,Amaranthaceae
AMCA3,AMED,Amaranthus edulis Speg.,hybrid violet,Amaranthaceae
AMCR4,ABAB3,Amaranthus cruentus L.,red amaranth,Amaranthaceae
AMCR4,AMHYC,Amaranthus hybridus L. ssp. cruentus (L.) Thell.,hybrid violet,Amaranthaceae
AMCR4,AMHYC2,Amaranthus hybridus L. var. cruentus (L.) Moq.,hybrid violet,Amaranthaceae
AMCR4,AMPA10,Amaranthus paniculatus L.,hybrid violet,Amaranthaceae
AMHY,ABAB3,Amaranthus hybridus L.,slim amaranth,Amaranthaceae
AMHY,AMCH7,Amaranthus chlorostachys Willd.,hybrid violet,Amaranthaceae
AMHY,AMIN6,Amaranthus incurvatus Tim. ex Gren. & Godr.,hybrid violet,Amaranthaceae
AMHY,AMPA11,Amaranthus patulus Bertol.,hybrid violet,Amaranthaceae
AMPO2,ABAB3,Amaranthus powellii S. Watson,Powell's amaranth,Amaranthaceae
AMPOP,ABAB3,Amaranthus powellii S. Watson ssp. powellii,Powell's amaranth,Amaranthaceae
AMPOP,AMBR4,Amaranthus bracteosus Uline & Bray,hybrid violet,Amaranthaceae
AMPOP,AMREP,Amaranthus retroflexus L. var. powellii (S. Watson) B. Boivin,hybrid violet,Amaranthaceae
AMPOP,AMVI4,Amaranthus viscidulus Greene,hybrid violet,Amaranthaceae
AMPU2,ABAB3,Amaranthus pumilus Raf.,seaside amaranth,Amaranthaceae
